"","Sample","Joint.Location","Pathotype","Seropositivity","GCTreatment","Protocol","Sex","Age"
"TMEM52",0.0775820173081865,0.00547420497192252,0.0182846474875986,7.08192958720488e-06,0.000258381006379427,0.00463483606388815,0.00313329836182374,0.00335620216047605
"CFAP74",0.0503130580573719,0.00109895716241537,0.00382510675683845,0.000440418879599225,0.00018608407638121,0.000184766031674499,8.45529705917336e-05,0.00851916819629706
"AL391845.2",0.0525108784628414,0.000617942488412293,0.00314522236847248,0.00143918636129614,0.000150887934891042,0.000400739205019818,0.00233274555307972,4.8868862945195e-05
"GABRD",0.300810986369826,0.0260989022669911,0.060753416117032,0.0105652998002359,0.0185967247092411,0.000739975614494348,0.000243440576097598,0.000641944008528128
"PRKCZ",2.2821715027719,0.200215666261283,0.707800231798994,0.319910785799793,0.0333859821887383,0.145255623034468,0.696321626334628,0.0668281682050686
"AL590822.2",0.494848517076085,0.0366942651215729,0.14175411637608,0.0373548034777182,0.00222533009902603,0.0264240357741197,0.172189037788439,0.0147673249241254
"PRKCZ-AS1",0.0246865197830903,0.00362881168214368,0.000751907297080745,0.00065690229132942,0.00089174967675687,0.00539972557235258,0.00147681409237155,0.00212935176779894
"FAAP20",1.8841190650012,0.6174315547257,0.247217396262622,0.0962879796930327,0.0231731594326323,0.0664378732393556,0.0891314678837629,0.00174468601423783
"AL590822.1",0.0893214949182153,0.0129808135301723,0.0234530406804212,0.000263626822416541,0.00363933735501032,0.00096925158468153,0.00282558416355716,0.0122473136649814
"SKI",2.0848911117049,0.607023691718589,0.269898472082775,0.0580174432689762,0.57035450445837,0.0945822682756559,0.289772259828114,0.896072251295132
"AL590822.3",1.58054881580642,0.186237608476414,0.241776248397696,0.0487413517756052,0.00465783557799249,0.0934564537004134,0.00497100264021944,0.167465636051511
"MORN1",0.129459365421114,0.0463067300765285,0.00295877012307377,0.000289219365845472,1.94512117857037e-05,8.05242428292274e-07,0.0348014446491685,0.0101057495417112
"AL513477.2",0.0240401408233448,0.0005640131684026,0.00108603287229947,3.04845919618657e-06,0.000661252356570774,0.00179390454208006,0.00506609797218394,6.77459353060073e-06
"RER1",2.58346505685337,0.741532126016564,0.131092811046363,0.00244331843141099,0.317566442957085,0.00235409506740281,0.611209129198143,0.450284460952044
"PEX10",0.787862548034457,0.279171249936117,0.0853447399999818,0.0396870813107686,0.0009857196094476,0.0671214415740251,0.195147188426292,4.91535995794656e-05
"PLCH2",0.269780729427815,0.00964153319540362,0.0298499491827475,0.000951062542065007,0.0136082721544417,0.00764141752107594,0.0172089849206913,0.0285542948283979
"AL139246.1",0.0422951791905324,0.00361899757673756,0.00439164883521137,0.000161797536069042,0.00138470797033108,0.00279456059550931,0.0024787499233736,0.00458340422292425
"PANK4",0.221754221009918,0.0264638868913036,0.0182238475056939,0.00012936004094577,0.00302132618943407,6.5341136146202e-05,0.0494687718107789,0.0105361457115705
"HES5",0.191146338427028,0.0506272031502997,0.11020626945929,0.0306376692268184,0.0131970411326177,0.00369454915000178,0.000346482701230055,0.0115551447983586
